product_id,commercial_name,raw_product_name,product_category,fabric_structure,material_family,source_type,yarn_count,width_inches,gsm,color,unit,confidence_score,notes
P00284,"ไมโครเม็ดข้าวโพด Single Jersey 72""",ไมโครเม็ดข้าวโพด,knitted_fabric,single_jersey,unknown,unknown,,72.0,,,kg,0.7,
P00285,"ไมโครหกเหลี่ยม Single Jersey 72""",ไมโครหกเหลี่ยม,knitted_fabric,single_jersey,unknown,unknown,,72.0,,,kg,0.7,
P00286,"20OEW Single Jersey 16""",20OEWSJ/16,knitted_fabric,single_jersey,cotton,unknown,20.0,16.0,,,kg,0.7,
P00287,"34TK Rib 29""",34TKRB/29,knitted_fabric,rib,polyester,unknown,34.0,29.0,,,kg,0.7,
P00288,"20OEW Single Jersey 24""",20OEWK/24*,knitted_fabric,single_jersey,cotton,unknown,20.0,24.0,,,kg,0.7,
P00289,"เม็ดข้าวโพด Single Jersey 72""",เม็ดข้าวโพด,knitted_fabric,single_jersey,unknown,unknown,,72.0,,,kg,0.7,
P00290,"20OEW Single Jersey 21""",20OEWSJ/21,knitted_fabric,single_jersey,cotton,unknown,20.0,21.0,,,kg,0.7,
P00291,"ผ้าวอร์มเทียม Interlock 66""",ผ้าวอร์มเทียม/66,knitted_fabric,interlock,unknown,unknown,,66.0,,,kg,0.7,
P00292,"45TC Interlock 36""",45TCINT/36,knitted_fabric,interlock,tc,unknown,45.0,36.0,,,kg,0.7,
P00293,"30CVC Single Jersey 38""",30CVCSJ/38,knitted_fabric,single_jersey,cvc,unknown,30.0,38.0,,,kg,0.7,
P00294,"20TD104 Juti 48""",20TD104JT/48,traded_textile,unknown,mixed_blend,unknown,20.0,48.0,,,kg,0.7,
P00295,"32SM Single Jersey 34.5""",32SMSJ/345,knitted_fabric,single_jersey,cotton,unknown,32.0,34.5,,,kg,0.7,
P00296,"20CM Collar 35017""",20CMปก,traded_textile,unknown,cotton,unknown,20.0,35017.0,,,kg,0.7,
P00297,"20TD104 Single Jersey 22""",20TD104SJ/22,knitted_fabric,single_jersey,mixed_blend,unknown,20.0,22.0,,,kg,0.7,
