normalized_code,product_name,yarn_count,yarn_code,fabric_structure,width_inch,clothno_raw,ftype,fwidth,occurrence_count,total_kg,avg_price_kg
"45TC80/20IT/44","45TC80 Interlock 44""","45","TC80","Interlock","44","45TC80/20 IT/44","Interlock","44""-45""","17","4571.47","156.88"
"POLYIT/40","POLY Interlock 40""","","POLY","Interlock","40","POLY IT/40","Interlock","40-42""","17","5097.76","137.65"
"30CMSJ/345","30CM Single Jersey 34.5""","30","CM","Single Jersey","34.5","*30CMSJ/345","Single Jersey","34.5""","17","4108.15","218.53"
"ไมโครหน้าเรียบ","ไมโครหน้าเรียบ หน้าเรียบ 72""","","ไมโครหน้าเรียบ","หน้าเรียบ","72","ไมโครหน้าเรียบ","หน้าเรียบ","72","16","5853.50","118.44"
"30SMSJ/36","30SM Single Jersey 36""","30","SM","Single Jersey","36","*30SMSJ/36","Single Jersey","36""","16","1943.48","208.44"
"30CMSJ/18.5","30CM Single Jersey 18.5""","30","CM","Single Jersey","18.5","30CMSJ/18.5","Single Jersey","18.5","15","5944.01","201.40"
"CM30RB2/325","CM Rib 32.5""","","CM","Rib","32.5","CM30RB2/325","RIB","32""-33""","15","3678.67","231.00"
"THERMAL","THERMAL THERMAL 72""","","THERMAL","THERMAL","72","THERMAL","THERMAL","72""","15","10926.10","93.47"
"20TKSJ/36","20TK Single Jersey 36""","20","TK","Single Jersey","36","20TKSJ/36","Single Jersey","36""","14","6220.47","111.64"
"30CMSJ/345*","30CM Single Jersey 34.5""","30","CM","Single Jersey","34.5","*30CMSJ/345*","Single Jersey","34.5""","14","4134.53","208.21"
"30CMSJ/24.5","30CM Single Jersey 24.5""","30","CM","Single Jersey","24.5","30CMSJ/24.5","Single Jersey","24.5""","14","3904.65","204.29"
"45TC80/20IT/41","45TC80 Interlock 41""","45","TC80","Interlock","41","45TC80/20IT/41","Interlock","41""-42""","13","3947.51","183.00"
"34TKRB/29","34TK Rib 29""","34","TK","Rib","29","34TKRB/29","RIB","29-30""","13","7540.86","139.85"
"30CMSJX2/34","30CM Single Jersey 34""","30","CM","Single Jersey","34","30CMSJX2/34","Single Jersey","34""","13","2537.00","226.38"
"30SMSJ/365*","30SM Single Jersey 36.5""","30","SM","Single Jersey","36.5","30SMSJ/365*","Single Jersey","36""","13","2443.75","225.77"
"30SMRB2/32","30SM Rib 32""","30","SM","Rib","32","*30SMRB2/32","RIB","32""","13","1745.23","226.54"
"30CMSJ/36","30CM Single Jersey 36""","30","CM","Single Jersey","36","30CMSJ/36","Single Jersey","36.5""","13","2208.74","207.69"
"เม็ดข้าวสาร","เม็ดข้าวสาร Single Jersey 72""","","เม็ดข้าวสาร","Single Jersey","72","เม็ดข้าวสาร","Single Jersey","72","12","3569.94","121.08"
"หกเหลี่ยม(รังผึ้ง)","หกเหลี่ยม(รังผึ้ง) Interlock 72""","","หกเหลี่ยม(รังผึ้ง)","Interlock","72","หกเหลี่ยม(รังผึ้ง)","Interlock","72""","12","3165.49","126.83"
"24CMSJ/335","24CM Single Jersey 33.5""","24","CM","Single Jersey","33.5","24CMSJ/335","Single Jersey","33.5""","12","2484.27","187.08"
"20TC80-20SJ/43","20TC80-20 Single Jersey 43""","20","TC80-20","Single Jersey","43","* 20TC80-20 SJ/43","Single Jersey","42""-43""","11","11229.37","115.00"
"45TCขนหนู","45TCขนหนู 45TCขนหนู 39540""","45","TCขนหนู","45TCขนหนู","39540","45TCขนหนู","45TCขนหนู","39.5""-40""","11","6129.90","143.64"
"30TD101RB/30","30TD101 Rib 30""","30","TD101","Rib","30","30TD101RB/30","RIB","30""","11","3463.09","146.29"
"30SMSJ/365*","30SM Single Jersey 36.5""","30","SM","Single Jersey","36.5","*30SMSJ/365*","Single Jersey","36.5""-37""","11","2288.55","231.36"
"20W-1RB/32","20W-1 Rib 32""","20","W-1","Rib","32","20W-1RB/32","RIB","32""","11","1659.89","215.00"
"34TKRB/31","34TK Rib 31""","34","TK","Rib","31","34TKRB/31","RIB","31""-32""","11","3798.42","137.82"
"30CMSJ/38*","30CM Single Jersey 38""","30","CM","Single Jersey","38","*30CMSJ/38*","Single Jersey","38""","11","2431.00","223.50"
"20TKJT/475","20TK Juti 47.5""","20","TK","Juti","47.5","20TKJT/475","Juti","47.5""","10","6000.29","135.00"
"30TC80/20RB/32","30TC80 Rib 32""","30","TC80","Rib","32","*30TC80/20RB/32","RIB","32""","10","5600.75","164.50"
"20OEWSJ/20","20OEW Single Jersey 20""","20","OEW","Single Jersey","20","20OEWSJ/20","Single Jersey","20""","10","3363.20","180.70"
"34TKRB/345","34TK Rib 34.5""","34","TK","Rib","34.5","34TKRB/345","RIB","34""-35""","10","2982.38","135.70"
"20OEWK/32","20OEW RIB 32""","20","OEW","RIB","32","20OEWK/32","RIB","32""","10","5403.19","205.50"
"POLYRIB/30","POLYRIB RIB 30""","","POLYRIB","RIB","30","POLY RIB/30","RIB","30""","10","2966.55","139.30"
"POLYRIB2X2","POLYRIB2X2 RIB 30""","","POLYRIB2X2","RIB","30","POLY RIB 2X2","RIB","30""","10","2888.70","130.80"
"34TKRB/30","34TK Rib 30""","34","TK","Rib","30","34TKRB/30","RIB","30""","10","4301.00","130.00"
"32SMRB2X2/21","32SM Rib 21""","32","SM","Rib","21","32SMRB2X2/21","RIB","21""","10","3295.90","211.70"
"30TC80/20INT/36","30TC80 Interlock 36""","30","TC80","Interlock","36","*30TC80/20INT/36","Interlock","36""","10","1886.28","171.20"
"30CMSJ/38-2","30CM Single Jersey 382""","30","CM","Single Jersey","382","30CMSJ/38-2","Single Jersey","38""","10","2924.21","188.67"
"30SMSJ/18","30SM Single Jersey 18""","30","SM","Single Jersey","18","30SMSJ/18","Single Jersey","18""","9","1826.29","169.44"
"45TKIT/445","45TK Interlock 44.5""","45","TK","Interlock","44.5","45TKIT/445","Interlock","44-45""","9","2554.85","147.22"
"20TKRB/32","20TK Rib 32""","20","TK","Rib","32","20TKRB/32","RIB","32""","9","3096.19","123.00"
"30TKRB/32","30TK Rib 32""","30","TK","Rib","32","30TKRB/32","RIB","32""","9","4449.05","137.33"
"32CMSJ/365","32CM Single Jersey 36.5""","32","CM","Single Jersey","36.5","32CMSJ/365","Single Jersey","36.5-37""","8","871.30","268.75"
"34TC80/20IT/38","34TC80 Interlock 38""","34","TC80","Interlock","38","34TC80/20 IT/38","Interlock","38""","8","2235.68","172.79"
"30TC80-20/IT/72","30TC80-20 Interlock 72""","30","TC80-20","Interlock","72","30TC80-20/IT /72","Interlock","72""","8","3731.36","180.25"
"30SMKVSJ/22","30SM Single Jersey 22""","30","SM","Single Jersey","22","30SMKVSJ/22","Single Jersey","22""","8","1047.53","233.75"
"POLYRIB1X1/30","POLYRIB1X1 RIB 30""","","POLYRIB1X1","RIB","30","POLY RIB 1X1 /30","RIB","30""","7","760.09","123.00"
"30TD101SJ/365","30TD101 Single Jersey 36.5""","30","TD101","Single Jersey","36.5","30TD101SJ/365","Single Jersey","36.5-37","7","1960.50","141.91"
"20OESJ/24","20OE Single Jersey 24""","20","OE","Single Jersey","24","20OESJ/24","Single Jersey","24""","7","3588.80","168.29"
"34TC80/20SJ/355","34TC80 Single Jersey 35.5""","34","TC80","Single Jersey","35.5","*34TC80/20SJ/355","Single Jersey","35.5""","7","3397.37","145.00"
"20TK+ไมโครจูติ/48","20TK Juti 48""","20","TK","Juti","48","*20TK+ไมโครจูติ /48","Juti","48""","7","2311.80","133.57"
"30SMSJ/38","30SM Single Jersey 38""","30","SM","Single Jersey","38","30SMSJ/38","Single Jersey","38""","7","2284.40","235.00"
"32SMSJ/39","32SM Single Jersey 39""","32","SM","Single Jersey","39","32SMSJ/39","Single Jersey","39""-39.5""","7","2453.66","217.14"
"20TC80-20SJ/20","20TC80-20 Single Jersey 20""","20","TC80-20","Single Jersey","20","20TC 80-20 SJ /20","Single Jersey","20""","7","1755.00","151.00"
"20CMSJ/36","20CM Single Jersey 36""","20","CM","Single Jersey","36","20CMSJ/36","Single Jersey","36""","7","1070.50","236.00"
"24CMSJ/19","24CM Single Jersey 19""","24","CM","Single Jersey","19","24CMSJ/19","Single Jersey","19""","7","1626.44","243.57"
"RIB45TK/2","TK RIB 2""","","TK","RIB","2","RIB 45TK/2","RIB","32""","7","1685.96","146.43"
"30TD1603SJ/375","30TD1603 Single Jersey 37.5""","30","TD1603","Single Jersey","37.5","30TD1603SJ/375","Single Jersey","37.5","7","606.12","151.43"
"308CMSJ/38","308CM Single Jersey 38""","308","CM","Single Jersey","38","308CMSJ/38","Single Jersey","38""","7","2258.61","228.57"
"28CM/2SJ/41","28CM Single Jersey 41""","28","CM","Single Jersey","41","28CM/2 SJ/41","Single Jersey","41""-42""","7","1991.30","203.00"
"30SMRB/2","30SM Rib 2""","30","SM","Rib","2","30SMRB/2","Single Jersey","32""","7","1232.06","223.57"
"CM/72","CM Single Jersey 72""","","CM","Single Jersey","72","CM/72","Single Jersey","72""","7","2665.30","65.00"
"30CM/2SJ/41","30CM Single Jersey 41""","30","CM","Single Jersey","41","30CM/2 SJ/41","Single Jersey","41""-42""","7","3382.70","185.71"
"45TKIT/39","45TK Interlock 39""","45","TK","Interlock","39","45TK IT/39","Interlock","39""","6","2101.31","140.17"
"34TC80-20S/J/36","34TC80-20S Single Jersey 36""","34","TC80-20S","Single Jersey","36","34TC80-20S/J/36","Single Jersey","36""-37""","6","2503.11","141.33"
"P0LYRB/32","P0LY Rib 32""","","P0LY","Rib","32","P0LY RB/32","RIB","32""","6","725.03","134.80"
"34TKSJ/36","34TK Single Jersey 36""","34","TK","Single Jersey","36","34TKSJ/36","Single Jersey","36""-37""","6","2149.88","135.50"
"C20COMB/36""305E(BC)","C20COMB Single Jersey 36305""","","C20COMB","Single Jersey","36305","C20 COMB/ 36""305E(BC)","Single Jersey","36""-37""","6","987.46","229.62"
"45TK/INT/86","45TK Interlock 86""","45","TK","Interlock","86","45TK/INT/86","Interlock","86""(รวมริม)","6","1525.90","125.00"
"30CMSJ/38","30CM Single Jersey 38""","30","CM","Single Jersey","38","*30CMSJ/38","Single Jersey","38""","6","2250.19","234.17"
"POLYIT/36","POLY Interlock 36""","","POLY","Interlock","36","POLY IT/36","Interlock","36""-37""","6","665.18","126.00"
"20CMSJ/26","20CM Single Jersey 26""","20","CM","Single Jersey","26","20CMSJ/26","Single Jersey","26""","6","1009.60","234.17"
"30TC65-35RB/30","30TC65-35 Rib 30""","30","TC65-35","Rib","30","30TC65-35RB/30","RIB","30""","6","1490.48","163.33"
"40CMINT/37","40CM Interlock 37""","40","CM","Interlock","37","40CMINT/37","Interlock","37""","6","3553.10","203.33"
"20TK+ไมโครจูติ/48","20TK Juti 48""","20","TK","Juti","48","*20TK+ไมโคร จูติ/48","Juti","48""","5","1222.67","130.00"
"20TD104SJ/365","20TD104 Single Jersey 36.5""","20","TD104","Single Jersey","36.5","20TD104SJ/365","Single Jersey","36.5""","5","838.37","129.00"
"20OEWSJ/18","20OEW Single Jersey 18""","20","OEW","Single Jersey","18","20OEWSJ/18","Single Jersey","18""","5","1827.64","168.40"
"34TKIT/38","34TK Interlock 38""","34","TK","Interlock","38","34 TK IT/ 38","Interlock","38""-39""","5","3259.78","133.60"
"30SMRB/32*","30SM Rib 32""","30","SM","Rib","32","*30SMRB/32*","RIB","32""","5","2108.90","241.00"
"20TK+ไมโครจูติ/475","20TK Juti 47.5""","20","TK","Juti","47.5","*20TK+ไมโคร จูติ/475","Juti","47.5""","5","1839.73","124.22"
"30TC80/20SJ/365","30TC80 Single Jersey 36.5""","30","TC80","Single Jersey","36.5","30TC80/20SJ/365","Single Jersey","36""-37""","5","862.71","180.00"
"30TC80/20RB/30","30TC80 Rib 30""","30","TC80","Rib","30","30TC80/20RB/30","RIB","32""","5","1318.48","181.00"
"ลายเม็ดข้าวสารทางตรง","ลายเม็ดข้าวสารทางตรง Single Jersey 74""","","ลายเม็ดข้าวสารทางตรง","Single Jersey","74","ลายเม็ดข้าวสารทางตรง","Single Jersey","74""(รวมริม)","5","2268.37","169.13"
"30TD1603/36","30TD1603 Single Jersey 36""","30","TD1603","Single Jersey","36","30TD1603/36","Single Jersey","36""-37""","5","651.99","151.00"
"20CMRB2","20CM Rib 20""","20","CM","Rib","20","20CMRB2","RIB","20""","5","994.99","236.00"
"20TC65/35RB/32","20TC65 Rib 32""","20","TC65","Rib","32","20TC65/35RB/32","RIB","32""","5","1848.16","184.00"
"32SMSJ/22","32SM Single Jersey 22""","32","SM","Single Jersey","22","32SMSJ/22","Single Jersey","22""","5","1153.48","226.00"
"30TC65-35/KK/72","30TC65-35 Lacoste 72""","30","TC65-35","Lacoste","72","30TC65-35/KK/72","Lacoste","72""","5","1327.28","155.00"
"POLY75/72RB/ลงคู่","POLY75 Rib Unknown width","","POLY75","Rib","","POLY75/72RB/ลงคู่","RIB","30""","5","1404.95","123.20"
"C40/1SEMI/INT/37","C40 Interlock 37""","","C40","Interlock","37","C40/1SEMI/INT/37","Interlock","37""","5","1826.20","225.00"
"34TC80-20IT/365","34TC80-20 Interlock 36.5""","34","TC80-20","Interlock","36.5","34TC80-20IT/365","Interlock","36.5-37""","4","2231.64","125.14"
"DSP30CMJT/36","CM Juti 36""","","CM","Juti","36","DSP30CMJT/36","Juti","36""","4","551.15","256.25"
"30TDRB/104","30TD Rib 104""","30","TD","Rib","104","30TDRB/104","Single Jersey","32","4","549.95","142.50"
"20OEWK/20*","20OEW Single Jersey 20""","20","OEW","Single Jersey","20","*20OEWK/20*","Single Jersey","20""","4","2520.46","194.00"
"30TKINT/36","30TK Interlock 36""","30","TK","Interlock","36","30TK INT/36","Interlock","36""-37""","4","1075.17","142.75"
"POLYRIB2X2/26","POLYRIB2X2 RIB 26""","","POLYRIB2X2","RIB","26","POLYRIB2X2/26","RIB","26""","4","967.51","140.00"
"30CMSJ/25","30CM Single Jersey 25""","30","CM","Single Jersey","25","30CMSJ/25","Single Jersey","25""-25.5""","4","1230.90","222.50"
"30TC65-35/SJ/375","30TC65-35 Single Jersey 37.5""","30","TC65-35","Single Jersey","37.5","30TC65-35/SJ/375","Single Jersey","37""-37.5""","4","1527.60","143.00"
"30SMSJ/19","30SM Single Jersey 19""","30","SM","Single Jersey","19","30SMSJ/19","Single Jersey","19""","4","1110.06","217.50"
"24CMRB/32","24CM Rib 32""","24","CM","Rib","32","24CMRB/32","RIB","32""","4","812.30","225.00"
"24CMSJ/26","24CM Single Jersey 26""","24","CM","Single Jersey","26","*24CMSJ/26","Single Jersey","26""","4","1324.89","232.50"
"30TKSJ/36","30TK Single Jersey 36""","30","TK","Single Jersey","36","30TKSJ/36","Single Jersey","36""","4","574.28","137.25"
"28CMSJ/20","28CM Single Jersey 20""","28","CM","Single Jersey","20","28CMSJ/20","Single Jersey","20""","4","2685.16","231.25"
"28CMRBยางยืด","28CM Rib 30""","28","CM","Rib","30","28CMRBยางยืด","RIB","30""","4","1805.47","240.00"
"30CMSJ/345-2","30CM Single Jersey 3452""","30","CM","Single Jersey","3452","30CMSJ/345-2","Single Jersey","34.5""","4","1762.00","168.75"
"30CMSJ/23.5","30CM Single Jersey 23.5""","30","CM","Single Jersey","23.5","30CMSJ/23.5","Single Jersey","23.5""","4","1472.70","208.00"
"COTTON","COTTON Single Jersey Unknown width","","COTTON","Single Jersey","","COTTON","Single Jersey","อบตามสภาพ","4","1460.40","65.00"
"30CMSJ/34","30CM Single Jersey 34""","30","CM","Single Jersey","34","30CMSJ/34","Single Jersey","34""-34.5""","4","1340.71","210.75"
"ผ้าขูดขน","ผ้าขูดขน ผ้าขูดขน 72""","","ผ้าขูดขน","ผ้าขูดขน","72","ผ้าขูดขน","ผ้าขูดขน","72""","4","1487.35","242.50"
"30CMRB2*1ยาง","30CM Rib 24""","30","CM","Rib","24","30CMRB2*1ยาง","RIB","24""","4","117.10","216.75"
"45TC80/20IT/365","45TC80 Interlock 36.5""","45","TC80","Interlock","36.5","45TC80/20 IT/365","Interlock","36.5""-37""","3","2755.23","131.33"
"20TD104RB/30","20TD104 Rib 30""","20","TD104","Rib","30","20TD104RB/30","RIB","30""","3","1078.01","136.67"
"20TC80/20SJ/43","20TC80 Single Jersey 43""","20","TC80","Single Jersey","43","20TC80/20SJ/43","Single Jersey","43""","3","3210.11","115.00"
"20TKปก","20TK Collar 3501650""","20","TK","Collar","3501650","20TK ปก","Collar","3.50""X 16.50""","3","57.60","93.33"
"45TC80/20IT/46","45TC80 Interlock 46""","45","TC80","Interlock","46","45TC80/20 IT/46","Interlock","45.5""-46""","3","1177.65","153.33"
"ผ้าวอร์ม/32","ผ้าวอร์ม ผ้าวอร์ม 32""","","ผ้าวอร์ม","ผ้าวอร์ม","32","ผ้าวอร์ม/32","ผ้าวอร์ม","32""-33""","3","939.84","160.00"
"30CVCจูติ/48","30CVC Juti 48""","30","CVC","Juti","48","30CVC จูติ/48","Juti","48""","3","259.48","221.67"
"30TD106SJ/365","30TD106 Single Jersey 36.5""","30","TD106","Single Jersey","36.5","30TD106SJ/365","Single Jersey","36""-37""","3","2041.55","148.33"
"20TK+ไมโครจูติ/475","20TK Juti 47.5""","20","TK","Juti","47.5","*20TK+ไมโครจูติ/475","Juti","47.5""","3","265.90","128.40"
