clothno_raw,clothno_clean,ftype,fwidth,occurrence_count,total_kg,avg_price_kg
"34TKRB/28","34TKRB/28","RIB","27""- 28""","18","5419.69","135.56"
"*30CMSJX2/365","*30CMSJX2/365","Single Jersey","36.5""-37""","18","4423.00","214.61"
"45TC80/20 IT/44","45TC80/20 IT/44","Interlock","44""-45""","17","4571.47","156.88"
"POLY IT/40","POLY IT/40","Interlock","40-42""","17","5097.76","137.65"
"*30CMSJ/345","*30CMSJ/345","Single Jersey","34.5""","17","4108.15","218.53"
"ไมโครหน้าเรียบ","ไมโครหน้าเรียบ","หน้าเรียบ","72","16","5853.50","118.44"
"*30SMSJ/36","*30SMSJ/36","Single Jersey","36""","16","1943.48","208.44"
"30CMSJ/18.5","30CMSJ/18.5","Single Jersey","18.5","15","5944.01","201.40"
"CM30RB2/325","CM30RB2/325","RIB","32""-33""","15","3678.67","231.00"
"THERMAL","THERMAL","THERMAL","72""","15","10926.10","93.47"
"20TKSJ/36","20TKSJ/36","Single Jersey","36""","14","6220.47","111.64"
"*30CMSJ/345*","*30CMSJ/345*","Single Jersey","34.5""","14","4134.53","208.21"
"30CMSJ/24.5","30CMSJ/24.5","Single Jersey","24.5""","14","3904.65","204.29"
"45TC80/20IT/41","45TC80/20IT/41","Interlock","41""-42""","13","3947.51","183.00"
"34TKRB/29","34TKRB/29","RIB","29-30""","13","7540.86","139.85"
"30CMSJX2/34","30CMSJX2/34","Single Jersey","34""","13","2537.00","226.38"
"30SMSJ/365*","30SMSJ/365*","Single Jersey","36""","13","2443.75","225.77"
"*30SMRB2/32","*30SMRB2/32","RIB","32""","13","1745.23","226.54"
"30CMSJ/36","30CMSJ/36","Single Jersey","36.5""","13","2208.74","207.69"
"เม็ดข้าวสาร","เม็ดข้าวสาร","Single Jersey","72","12","3569.94","121.08"
"หกเหลี่ยม(รังผึ้ง)","หกเหลี่ยม(รังผึ้ง)","Interlock","72""","12","3165.49","126.83"
"24CMSJ/335","24CMSJ/335","Single Jersey","33.5""","12","2484.27","187.08"
"* 20TC80-20 SJ/43","* 20TC80-20 SJ/43","Single Jersey","42""-43""","11","11229.37","115.00"
"45TCขนหนู","45TCขนหนู","45TCขนหนู","39.5""-40""","11","6129.90","143.64"
"30TD101RB/30","30TD101RB/30","RIB","30""","11","3463.09","146.29"
"*30SMSJ/365*","*30SMSJ/365*","Single Jersey","36.5""-37""","11","2288.55","231.36"
"20W-1RB/32","20W-1RB/32","RIB","32""","11","1659.89","215.00"
"34TKRB/31","34TKRB/31","RIB","31""-32""","11","3798.42","137.82"
"*30CMSJ/38*","*30CMSJ/38*","Single Jersey","38""","11","2431.00","223.50"
"20TKJT/475","20TKJT/475","Juti","47.5""","10","6000.29","135.00"
"*30TC80/20RB/32","*30TC80/20RB/32","RIB","32""","10","5600.75","164.50"
"20OEWSJ/20","20OEWSJ/20","Single Jersey","20""","10","3363.20","180.70"
"34TKRB/345","34TKRB/345","RIB","34""-35""","10","2982.38","135.70"
"20OEWK/32","20OEWK/32","RIB","32""","10","5403.19","205.50"
"POLY RIB/30","POLY RIB/30","RIB","30""","10","2966.55","139.30"
"POLY RIB 2X2","POLY RIB 2X2","RIB","30""","10","2888.70","130.80"
"34TKRB/30","34TKRB/30","RIB","30""","10","4301.00","130.00"
"32SMRB2X2/21","32SMRB2X2/21","RIB","21""","10","3295.90","211.70"
"*30TC80/20INT/36","*30TC80/20INT/36","Interlock","36""","10","1886.28","171.20"
"30CMSJ/38-2","30CMSJ/38-2","Single Jersey","38""","10","2924.21","188.67"
"30SMSJ/18","30SMSJ/18","Single Jersey","18""","9","1826.29","169.44"
"45TKIT/445","45TKIT/445","Interlock","44-45""","9","2554.85","147.22"
"20TKRB/32","20TKRB/32","RIB","32""","9","3096.19","123.00"
"30TKRB/32","30TKRB/32","RIB","32""","9","4449.05","137.33"
"32CMSJ/365","32CMSJ/365","Single Jersey","36.5-37""","8","871.30","268.75"
"34TC80/20 IT/38","34TC80/20 IT/38","Interlock","38""","8","2235.68","172.79"
