clothno_raw,clothno_clean,ftype,fwidth,occurrence_count,total_kg,avg_price_kg
"24CMSJ/33","24CMSJ/33","Single Jersey","33""","1","18.70","170.00"
"308CMแขน","308CMแขน","Armbands","1.50""X27""","1","33.75","165.00"
"308CMแขน 2","308CMแขน 2","Single Jersey","1.50""X27""","1","33.22","200.00"
"308CMแขน 1","308CMแขน 1","Single Jersey","1.50""X27""","1","36.41","200.00"
"ไมโคร RIB","ไมโคร RIB","Single Jersey","72","1","567.80","105.00"
"30SMSJ/17","30SMSJ/17","Single Jersey","17""","1","582.26","200.00"
"308CMSJ/22","308CMSJ/22","Single Jersey","22""","1","246.76","200.00"
"*เม็ดข้าวโพดเงา *","*เม็ดข้าวโพดเงา *","Single Jersey","72""","1","244.04","80.00"
"20TC65/35/SJ","20TC65/35/SJ","Single Jersey","36""","1","241.04","195.00"
"28CMRB2/34","28CMRB2/34","RIB","34""","1","112.70","285.00"
"45TC80/20IT/37.5","45TC80/20IT/37.5","Interlock","37.5""-38""","1","203.82","135.00"
"ผ้าวอร์ม/60","ผ้าวอร์ม/60","ผ้าวอร์ม","60""(รวมริม)","1","110.00","160.00"
"*30CMSJ/19","*30CMSJ/19","Single Jersey","19""","1","217.10","215.00"
"30TD104/2SJ/41","30TD104/2SJ/41","Single Jersey","41""","1","181.30","140.00"
"20CMSJ/35","20CMSJ/35","Single Jersey","35""","1","108.70","210.00"
"30TD104RB2X2/21","30TD104RB2X2/21","RIB","21""","1","5.00","140.00"
"20TK+ไมโคร จูติ/49","20TK+ไมโคร จูติ/49","Juti","48""-49""","1","440.88","135.00"
"30CMSJ/255","30CMSJ/255","Single Jersey","25.5""","1","100.70","190.00"
"28CMRBเส้นคู่","28CMRBเส้นคู่","Single Jersey","22","1","80.40",""
"*30CMSJ/20","*30CMSJ/20","Single Jersey","20""","1","661.90","190.00"
"32CMSJ/245","32CMSJ/245","Single Jersey","24""","1","315.10","235.00"
"POLY IT/42","POLY IT/42","Interlock","42""-43""","1","204.20","95.00"
"28CMRB2X1ลงคู่","28CMRB2X1ลงคู่","RIB","24""","1","450.60","213.00"
"308CMSJ/18","308CMSJ/18","Single Jersey","18""","1","219.72","200.00"
"20CMSJ/34""","20CMSJ/34""","Single Jersey","34""","1","444.60","180.00"
"C 20/SJ","C 20/SJ","Single Jersey","36""","1","376.60","65.00"
"C 20 RIB/36""","C 20 RIB/36""","RIB","36""","1","444.90","65.00"
"30TC80/20INT/40""","30TC80/20INT/40""","Interlock","40""","1","217.50","158.00"
"30TC80/20INT/76""","30TC80/20INT/76""","Interlock","76""","1","206.74","158.00"
"TC","TC","Single Jersey","36""","1","560.26","65.00"
"30CMSJX2/37","30CMSJX2/37","Single Jersey","37""-37.5""","1","103.20","218.00"
"BABY FRENCH TERRY","BABY FRENCH TERRY","BABY FRENCH TERRY","72""ไม่รวมริม","1","178.40","230.00"
"20OERB/32","20OERB/32","RIB","32""","1","366.80","155.00"
"20CMRIB1X1+ยางยืดชักร่อง8X4","20CMRIB1X1+ยางยืดชักร่อง8X4","ชักร่อง 8X4","28""","1","17.00","230.00"
"208CMRB/28","208CMRB/28","RIB","28""","1","40.74","168.00"
"30CMSJ/365*","30CMSJ/365*","Single Jersey","36.5""","1","42.80","225.00"
